                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.82999,                0.48122,                0.84598,                 0.9912,                0.99313,                0.99488,                0.85695,                0.42116,                0.28435,                0.50513,              0.0008318,              0.0008318,              0.0008318
                     61,                0.80951,                0.47286,                0.83931,                0.99381,                0.99301,                0.99494,                0.84864,                0.43434,                0.30995,                0.50835,               0.000812,               0.000812,               0.000812
                     62,                0.81476,                 0.4678,                0.83826,                0.99513,                0.99395,                0.99493,                0.86635,                0.40746,                0.25705,                0.50535,              0.0007922,              0.0007922,              0.0007922
                     63,                0.81937,                0.47474,                0.84166,                0.99341,                0.99574,                0.99492,                0.86308,                0.41336,                0.28025,                 0.5065,              0.0007724,              0.0007724,              0.0007724
                     64,                0.79101,                0.45775,                0.83788,                0.99271,                0.99347,                0.99489,                0.86601,                 0.4072,                0.29106,                0.50658,              0.0007526,              0.0007526,              0.0007526
                     65,                 0.7732,                0.45693,                0.83895,                0.99502,                0.99362,                0.99491,                0.86308,                0.41126,                0.31306,                0.50668,              0.0007328,              0.0007328,              0.0007328
                     66,                0.78321,                0.44976,                0.82982,                0.99631,                 0.9921,                0.99495,                0.87384,                0.40798,                0.28918,                0.50432,               0.000713,               0.000713,               0.000713
                     67,                0.76105,                0.45025,                0.83312,                0.99635,                0.99621,                0.99489,                  0.868,                0.41615,                0.25667,                0.50592,              0.0006932,              0.0006932,              0.0006932
                     68,                0.75624,                0.43258,                0.83184,                0.99695,                0.99363,                0.99494,                0.86739,                0.40617,                0.25607,                0.50363,              0.0006734,              0.0006734,              0.0006734
                     69,                0.76062,                0.44818,                0.83127,                0.99695,                0.99445,                0.99493,                0.87163,                0.39788,                0.26372,                0.50333,              0.0006536,              0.0006536,              0.0006536
                     70,                 0.7427,                0.44186,                0.83064,                0.99273,                0.99656,                0.99486,                0.86982,                0.39763,                0.25585,                0.50186,              0.0006338,              0.0006338,              0.0006338
                     71,                0.75651,                 0.4386,                0.83644,                 0.9933,                0.99483,                0.99486,                0.86576,                0.40254,                0.25154,                0.50363,               0.000614,               0.000614,               0.000614
                     72,                0.73448,                0.43913,                0.83155,                0.99613,                0.99574,                0.99497,                0.87857,                0.39401,                0.25119,                 0.5032,              0.0005942,              0.0005942,              0.0005942
                     73,                0.73349,                0.43193,                 0.8257,                0.99618,                0.99605,                0.99492,                0.88162,                0.39149,                0.24541,                0.50272,              0.0005744,              0.0005744,              0.0005744
                     74,                0.73952,                0.42756,                0.82816,                0.99196,                0.99574,                0.99487,                0.88246,                0.38238,                0.23194,                  0.501,              0.0005546,              0.0005546,              0.0005546
                     75,                0.72827,                0.42934,                0.82478,                0.99553,                0.99635,                0.99496,                0.87569,                0.38914,                0.23201,                0.50098,              0.0005348,              0.0005348,              0.0005348
                     76,                0.71633,                0.41863,                0.83353,                0.99544,                0.99509,                0.99492,                0.88057,                0.37983,                 0.2314,                0.50068,               0.000515,               0.000515,               0.000515
                     77,                0.71165,                0.41711,                 0.8221,                0.99283,                0.99605,                0.99492,                0.87868,                 0.3786,                0.23175,                0.50028,              0.0004952,              0.0004952,              0.0004952
                     78,                0.69534,                0.41151,                0.82798,                0.99393,                0.99471,                0.99492,                0.87235,                0.38529,                0.24287,                0.50125,              0.0004754,              0.0004754,              0.0004754
                     79,                0.70354,                0.41734,                0.82584,                0.99729,                0.99422,                0.99497,                0.87676,                0.38303,                0.23577,                0.50064,              0.0004556,              0.0004556,              0.0004556
                     80,                0.69505,                 0.4126,                0.82191,                0.99484,                0.99699,                0.99496,                0.87939,                0.38137,                0.22594,                0.50138,              0.0004358,              0.0004358,              0.0004358
                     81,                0.68234,                0.40286,                0.81969,                0.99756,                0.99454,                0.99498,                0.88666,                0.37246,                0.22058,                0.50027,               0.000416,               0.000416,               0.000416
                     82,                0.68857,                0.40071,                0.82091,                0.99723,                0.99514,                0.99498,                0.88186,                0.37252,                0.22533,                0.50033,              0.0003962,              0.0003962,              0.0003962
                     83,                0.68092,                 0.4021,                0.82067,                0.99635,                0.99574,                0.99498,                0.88208,                0.37197,                0.22366,                0.49998,              0.0003764,              0.0003764,              0.0003764
                     84,                0.67319,                0.39547,                 0.8177,                0.99786,                0.99392,                0.99498,                0.89049,                0.36581,                0.22238,                0.49931,              0.0003566,              0.0003566,              0.0003566
                     85,                0.66425,                0.39261,                0.82032,                0.99605,                0.99542,                0.99497,                0.89144,                0.36467,                0.21539,                0.49863,              0.0003368,              0.0003368,              0.0003368
                     86,                0.65988,                0.38594,                0.81557,                0.99635,                0.99532,                0.99496,                0.88926,                0.36026,                0.21501,                0.49802,               0.000317,               0.000317,               0.000317
                     87,                0.64909,                0.39407,                0.81719,                0.99635,                0.99484,                0.99495,                0.88887,                0.36448,                0.21614,                0.49853,              0.0002972,              0.0002972,              0.0002972
                     88,                0.64949,                 0.3884,                 0.8162,                0.99453,                0.99546,                0.99493,                0.89126,                0.36128,                0.21517,                 0.4979,              0.0002774,              0.0002774,              0.0002774
                     89,                0.62754,                0.37535,                0.81974,                0.99523,                0.99514,                0.99494,                0.89478,                 0.3615,                 0.2181,                0.49807,              0.0002576,              0.0002576,              0.0002576
                     90,                 0.6391,                0.35863,                0.77578,                0.99385,                0.99544,                0.99489,                0.89437,                0.36121,                0.21256,                0.49815,              0.0002378,              0.0002378,              0.0002378
                     91,                  0.637,                 0.3578,                0.78211,                0.99468,                0.99574,                0.99491,                0.89381,                0.36066,                0.21618,                0.49911,               0.000218,               0.000218,               0.000218
                     92,                0.62164,                0.35106,                0.78045,                0.99523,                0.99483,                 0.9949,                0.89747,                0.35981,                0.20923,                0.49803,              0.0001982,              0.0001982,              0.0001982
                     93,                0.61453,                 0.3457,                0.78086,                0.99539,                0.99483,                0.99495,                0.89811,                0.35442,                0.21127,                0.49766,              0.0001784,              0.0001784,              0.0001784
                     94,                0.60842,                0.33705,                0.77682,                0.99537,                0.99544,                0.99497,                0.90059,                0.35141,                0.20941,                0.49777,              0.0001586,              0.0001586,              0.0001586
                     95,                0.61393,                 0.3412,                0.77288,                0.99652,                0.99605,                0.99498,                0.90257,                0.34961,                 0.2078,                0.49806,              0.0001388,              0.0001388,              0.0001388
                     96,                 0.5958,                0.33298,                0.77722,                0.99589,                0.99635,                0.99498,                0.90333,                0.34805,                0.20394,                0.49775,               0.000119,               0.000119,               0.000119
                     97,                0.58816,                0.32914,                0.77617,                0.99598,                0.99635,                0.99496,                0.90304,                0.34639,                0.20276,                0.49743,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.58494,                0.33368,                0.77933,                0.99585,                0.99635,                0.99497,                 0.9032,                0.34923,                0.20115,                0.49741,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.56931,                0.32599,                0.77159,                0.99635,                0.99657,                0.99497,                0.90303,                0.34948,                0.20014,                0.49746,               5.96e-05,               5.96e-05,               5.96e-05
